id_rollo,fecha,codigo_tela,tipo,color,kg_rollo,observacion
100,2026-05-11 20:40:06.406309,1,MORLEY SOFT,BORRAVINO,23,
145,2026-05-11 20:47:53.001253,1,MORLEY SOFT,GRIS MELANGE,22.8,
146,2026-05-11 20:47:53.001961,1,MORLEY SOFT,GRIS MELANGE,22.6,
147,2026-05-11 20:48:23.18395,1,MORLEY SOFT,OFF WHITE,22.5,
148,2026-05-11 20:48:23.184424,1,MORLEY SOFT,OFF WHITE,22.2,
149,2026-05-11 20:48:23.184688,1,MORLEY SOFT,OFF WHITE,22.6,
150,2026-05-11 20:48:23.184898,1,MORLEY SOFT,OFF WHITE,22.8,
151,2026-05-11 20:49:45.898932,1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),22.7,
152,2026-05-11 20:49:45.899217,1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),23.5,
153,2026-05-11 20:49:45.899425,1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),23,
154,2026-05-11 20:49:45.899618,1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),23.1,
155,2026-05-11 20:49:45.899802,1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),23.2,
156,2026-05-11 20:49:45.899983,1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),23,
158,2026-05-11 20:49:45.900342,1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),23.3,
159,2026-05-11 20:49:45.900534,1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),23.3,
160,2026-05-11 20:49:45.900719,1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),23.1,
161,2026-05-11 20:49:45.900956,1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),22.2,
162,2026-05-11 20:49:45.901151,1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),22,
163,2026-05-11 20:49:45.901452,1,MORLEY SOFT,ROSA VIEJO OSCURO (CAMEL),23.2,
